iter	Passed	Remaining
150	10235	23656
151	10308	23602
152	10367	23513
153	10432	23440
154	10492	23353
155	10557	23280
156	10634	23234
157	10705	23172
158	10767	23092
159	10834	23022
160	10901	22954
161	10958	22864
162	11029	22803
163	11091	22724
164	11150	22637
165	11222	22579
166	11288	22509
167	11346	22422
168	11422	22371
169	11485	22295
170	11547	22217
171	11616	22151
172	11676	22071
173	11730	21978
174	11795	21906
175	11859	21831
176	11920	21754
177	11984	21679
178	12049	21607
179	12112	21533
180	12174	21456
181	12235	21378
182	12290	21289
183	12364	21234
184	12429	21163
185	12496	21096
186	12564	21029
187	12628	20957
188	12686	20875
189	12759	20817
190	12819	20739
191	12884	20668
192	12956	20610
193	13020	20538
194	13081	20460
195	13143	20386
196	13209	20317
197	13269	20238
198	13337	20173
199	13397	20096
200	13468	20035
201	13528	19958
202	13585	19875
203	13654	19813
204	13724	19749
205	13791	19682
206	13857	19614
207	13937	19566
208	14003	19497
209	14067	19426
210	14138	19364
211	14199	19290
212	14263	19219
213	14332	19154
214	14393	19079
215	14451	19000
216	14511	18924
217	14569	18846
218	14631	18774
219	14701	18710
220	14765	18641
221	14822	18561
222	14889	18495
223	14957	18429
224	15023	18361
225	15088	18292
226	15148	18217
227	15210	18146
228	15272	18073
229	15337	18005
230	15403	17937
231	15470	17871
232	15538	17805
233	15602	17736
234	15670	17671
235	15730	17597
236	15789	17521
237	15859	17458
238	15916	17381
239	15977	17308
240	16057	17256
241	16120	17186
242	16183	17115
243	16253	17052
244	16319	16985
245	16379	16912
246	16446	16845
247	16510	16777
248	16570	16703
249	16640	16640
250	16708	16575
251	16771	16505
252	16839	16439
253	16906	16374
254	16977	16312
255	17044	16245
256	17108	16176
257	17172	16107
258	17246	16048
259	17300	15969
260	17362	15899
261	17433	15836
262	17494	15764
263	17559	15697
264	17627	15631
265	17691	15563
266	17754	15493
267	17826	15431
268	17889	15362
269	17952	15292
270	18017	15225
271	18081	15156
272	18141	15084
273	18207	15017
274	18280	14956
275	18348	14891
276	18423	14831
277	18490	14765
278	18552	14695
279	18613	14625
280	18678	14557
281	18747	14493
282	18810	14423
283	18879	14359
284	18939	14287
285	19006	14221
286	19073	14155
287	19141	14090
288	19206	14022
289	19279	13961
290	19347	13895
291	19405	13822
292	19466	13753
293	19530	13684
294	19593	13615
295	19662	13551
296	19721	13479
297	19785	13411
298	19847	13342
299	19911	13274
300	19968	13201
301	20046	13143
302	20113	13077
303	20174	13006
304	20239	12940
305	20309	12876
306	20375	12809
307	20443	12744
308	20509	12677
309	20569	12607
310	20634	12540
311	20695	12470
312	20760	12403
313	20836	12342
314	20901	12275
315	20964	12206
316	21033	12142
317	21092	12071
318	21153	12002
319	21227	11940
320	21281	11867
321	21348	11801
322	21416	11735
323	21476	11666
324	21542	11599
325	21604	11531
326	21660	11459
327	21716	11388
328	21782	11321
329	21851	11256
330	21907	11185
331	21972	11118
332	22040	11053
333	22115	10991
334	22188	10928
335	22258	10864
336	22326	10798
337	22388	10730
338	22454	10664
339	22513	10594
340	22577	10527
341	22640	10459
342	22698	10389
343	22758	10320
344	22831	10257
345	22890	10188
346	22953	10120
347	23018	10054
348	23081	9986
349	23139	9916
350	23203	9849
351	23263	9781
352	23322	9712
353	23387	9645
354	23448	9577
355	23504	9507
356	23572	9442
357	23636	9375
358	23697	9307
359	23762	9241
360	23830	9175
361	23901	9111
362	23971	9047
363	24041	8982
364	24107	8916
365	24174	8850
366	24230	8781
367	24301	8716
368	24361	8648
369	24433	8584
370	24499	8518
371	24569	8453
372	24631	8386
373	24695	8319
374	24767	8255
375	24830	8188
376	24890	8120
377	24960	8055
378	25032	7991
379	25089	7923
380	25158	7858
381	25231	7793
382	25296	7727
383	25369	7663
384	25430	7596
385	25492	7528
386	25554	7461
387	25618	7395
388	25681	7328
389	25748	7262
390	25813	7196
391	25874	7128
392	25937	7061
393	26001	6995
394	26064	6928
395	26139	6864
396	26198	6797
397	26259	6729
398	26329	6664
399	26393	6598
400	26449	6529
401	26516	6464
402	26579	6397
403	26640	6330
404	26712	6265
405	26779	6200
406	26836	6132
407	26903	6066
408	26964	5999
409	27031	5933
410	27096	5867
411	27163	5801
412	27225	5735
413	27289	5668
414	27355	5602
415	27419	5536
416	27494	5472
417	27565	5407
418	27644	5344
419	27717	5279
420	27777	5212
421	27850	5147
422	27917	5081
423	27973	5014
424	28041	4948
425	28111	4883
426	28177	4817
427	28243	4751
428	28300	4683
429	28367	4617
430	28439	4552
431	28500	4486
432	28567	4420
433	28634	4354
434	28700	4288
435	28766	4222
436	28835	4157
437	28909	4092
438	28974	4026
439	29046	3960
440	29108	3894
441	29171	3827
442	29243	3762
443	29300	3695
444	29361	3628
445	29428	3563
446	29490	3496
447	29552	3430
448	29620	3364
449	29685	3298
450	29743	3231
451	29806	3165
452	29876	3099
453	29936	3033
454	30007	2967
455	30077	2902
456	30141	2836
457	30208	2770
458	30265	2703
459	30327	2637
460	30395	2571
461	30457	2505
462	30517	2438
463	30586	2373
464	30651	2307
465	30714	2240
466	30790	2175
467	30847	2109
468	30907	2042
469	30983	1977
470	31043	1911
471	31101	1844
472	31165	1779
473	31224	1712
474	31282	1646
475	31357	1581
476	31424	1515
477	31491	1449
478	31557	1383
479	31622	1317
480	31690	1251
481	31761	1186
482	31821	1120
483	31880	1053
484	31946	988
485	32013	922
486	32072	856
487	32147	790
488	32204	724
489	32264	658
490	32334	592
491	32399	526
492	32453	460
493	32528	395
494	32589	329
495	32649	263
496	32720	197
497	32786	131
498	32848	65
499	32915	0
