iter	MultiClass
0	0.8355345489
1	0.6672794694
2	0.5476092933
3	0.457494322
4	0.3877690045
5	0.3323397538
6	0.2874678856
7	0.2509900255
8	0.2212150911
9	0.1963618276
10	0.1758010478
11	0.1590401387
12	0.1443949592
13	0.1322273241
14	0.1225736581
15	0.114149351
16	0.1070961599
17	0.1006508568
18	0.09551198444
19	0.09110851402
20	0.08727039045
21	0.08419516599
22	0.08132171271
23	0.07898657843
24	0.07711887299
25	0.07508640426
26	0.0735701885
27	0.07227573322
28	0.07126216471
29	0.07028973698
30	0.06934064656
31	0.06861540683
32	0.06795922831
33	0.06745367553
34	0.06708126928
35	0.0666582343
36	0.06615129866
37	0.06590785916
38	0.06551452175
39	0.06528253624
40	0.06509026028
41	0.06486216284
42	0.06463802522
43	0.06437672274
44	0.06423922965
45	0.06408455731
46	0.0639301866
47	0.0638139689
48	0.06366817281
49	0.06350122036
50	0.06342495003
51	0.06333684538
52	0.06323970671
53	0.06313967093
54	0.06305321158
55	0.06296810746
56	0.06288833134
57	0.0628260376
58	0.06273291884
59	0.06262864481
60	0.06253536158
61	0.06247113738
62	0.06236949222
63	0.06229688997
64	0.06221482171
65	0.06207612021
66	0.0619933258
67	0.06193454409
68	0.06183406864
69	0.06178855657
70	0.06168034705
71	0.06160999501
72	0.06154077895
73	0.06145467756
74	0.06139739253
75	0.06131854804
76	0.0612681973
77	0.06120843028
78	0.06114138001
79	0.06099371631
80	0.0609358238
81	0.06087025387
82	0.06082417918
83	0.06077039551
84	0.06072564614
85	0.06063660936
86	0.06052318294
87	0.0604457272
88	0.06040472753
89	0.06037325488
90	0.06032007075
91	0.06028363285
92	0.06016394669
93	0.06010824493
94	0.06004245589
95	0.05991639809
96	0.0598669935
97	0.05979716558
98	0.05976273761
99	0.05971555245
100	0.05967684526
101	0.05962779372
102	0.05961015601
103	0.05957739519
104	0.05952636813
105	0.05941135338
106	0.05933387893
107	0.05927267332
108	0.05917547059
109	0.05912503525
110	0.05909680999
111	0.05904612393
112	0.05896219444
113	0.05890309509
114	0.05885281741
115	0.05881681818
116	0.05877341334
117	0.0586615371
118	0.05860071303
119	0.05851791441
120	0.05846553654
121	0.05841482852
122	0.05838395474
123	0.05834160857
124	0.05830766584
125	0.05826355774
126	0.05822895718
127	0.05817898473
128	0.05810065555
129	0.05805167766
130	0.05802158289
131	0.0579816827
132	0.05794192019
133	0.05790818139
134	0.05787714305
135	0.05784631956
136	0.05778317911
137	0.0577398714
138	0.0576749416
139	0.05764116403
140	0.05759735645
141	0.05754221188
142	0.0575217736
143	0.05748645203
144	0.05743145582
145	0.05738076067
146	0.05733935839
147	0.05730602348
148	0.05722712575
149	0.05719971317
150	0.05716063774
151	0.057077768
152	0.05704535785
153	0.05700972188
154	0.05697794645
155	0.05694281897
156	0.05685184621
157	0.05682800483
158	0.05680726791
159	0.05677131633
160	0.0567417923
161	0.05670998149
162	0.05666241433
163	0.05661582433
164	0.05659955417
